center_id,x,y,z,along,lateral,survival_time,failed,first_obstacle_id,first_uav_index,first_distance,intrusion_threshold
0,3.136185233244127,-4.573603465147685,-3.0,0.0,-5.545584412271571,50.0,False,,,,
1,2.570656877692599,-3.7488746133017075,-3.0,0.0,-4.545584412271571,50.0,False,,,,
2,2.0051285221410717,-2.9241457614557294,-3.0,0.0,-3.5455844122715714,50.0,False,,,,
3,1.439600166589544,-2.0994169096097517,-3.0,0.0,-2.5455844122715714,50.0,False,,,,
4,0.8740718110380162,-1.2746880577637736,-3.0,0.0,-1.5455844122715714,50.0,False,,,,
5,0.3085434554864885,-0.4499592059177957,-3.0,0.0,-0.5455844122715714,50.0,False,,,,
6,-0.2569849000650392,0.3747696459281822,-3.0,0.0,0.4544155877284286,50.0,False,,,,
7,-0.8225132556165669,1.19949849777416,-3.0,0.0,1.4544155877284286,50.0,False,,,,
8,-1.3880416111680947,2.024227349620138,-3.0,0.0,2.4544155877284286,50.0,False,,,,
9,-1.9535699667196222,2.8489562014661156,-3.0,0.0,3.4544155877284286,50.0,False,,,,
10,-2.51909832227115,3.6736850533120937,-3.0,0.0,4.454415587728429,50.0,False,,,,
11,-3.0846266778226776,4.498413905158071,-3.0,0.0,5.454415587728429,50.0,False,,,,
12,-3.136185233244127,4.573603465147685,-3.0,0.0,5.545584412271571,50.0,False,,,,
13,4.785642936936083,-3.4425467540446295,-3.0,2.0,-5.545584412271571,50.0,False,,,,
14,4.220114581384555,-2.6178179021986523,-3.0,2.0,-4.545584412271571,50.0,False,,,,
15,3.6545862258330275,-1.793089050352674,-3.0,2.0,-3.5455844122715714,50.0,False,,,,
16,3.0890578702814997,-0.9683601985066963,-3.0,2.0,-2.5455844122715714,50.0,False,,,,
17,2.523529514729972,-0.1436313466607182,-3.0,2.0,-1.5455844122715714,50.0,False,,,,
18,1.9580011591784443,0.6810975051852597,-3.0,2.0,-0.5455844122715714,50.0,False,,,,
19,1.3924728036269165,1.5058263570312376,-3.0,2.0,0.4544155877284286,50.0,False,,,,
20,0.8269444480753889,2.3305552088772155,-3.0,2.0,1.4544155877284286,50.0,False,,,,
21,0.2614160925238611,3.1552840607231936,-3.0,2.0,2.4544155877284286,50.0,False,,,,
22,-0.3041122630276665,3.980012912569171,-3.0,2.0,3.4544155877284286,50.0,False,,,,
23,-0.8696406185791941,4.804741764415149,-3.0,2.0,4.454415587728429,50.0,False,,,,
24,-1.4351689741307219,5.629470616261127,-3.0,2.0,5.454415587728429,50.0,False,,,,
25,-1.4867275295521711,5.704660176250741,-3.0,2.0,5.545584412271571,50.0,False,,,,
26,6.435100640628038,-2.3114900429415743,-3.0,4.0,-5.545584412271571,50.0,False,,,,
27,5.869572285076511,-1.4867611910955967,-3.0,4.0,-4.545584412271571,50.0,False,,,,
28,5.304043929524983,-0.6620323392496186,-3.0,4.0,-3.5455844122715714,50.0,False,,,,
29,4.738515573973455,0.1626965125963591,-3.0,4.0,-2.5455844122715714,50.0,False,,,,
30,4.172987218421928,0.9874253644423372,-3.0,4.0,-1.5455844122715714,50.0,False,,,,
31,3.6074588628704,1.812154216288315,-3.0,4.0,-0.5455844122715714,50.0,False,,,,
