center_id,x,y,z,along,lateral,survival_time,failed,first_obstacle_id,first_uav_index,first_distance,intrusion_threshold
0,3.6319725849706113,-4.190737598043014,-3.0,0.0,-5.545584412271571,90.0,False,,,,
1,2.9770420465527696,-3.4350485152531958,-3.0,0.0,-4.545584412271571,90.0,False,,,,
2,2.3221115081349275,-2.6793594324633783,-3.0,0.0,-3.5455844122715714,90.0,False,,,,
3,1.6671809697170858,-1.9236703496735608,-3.0,0.0,-2.5455844122715714,90.0,False,,,,
4,1.012250431299244,-1.167981266883743,-3.0,0.0,-1.5455844122715714,90.0,False,,,,
5,0.3573198928814021,-0.4122921840939255,-3.0,0.0,-0.5455844122715714,90.0,False,,,,
6,-0.2976106455364398,0.3433968986958921,-3.0,0.0,0.4544155877284286,90.0,False,,,,
7,-0.9525411839542817,1.0990859814857097,-3.0,0.0,1.4544155877284286,90.0,False,,,,
8,-1.6074717223721235,1.8547750642755274,-3.0,0.0,2.4544155877284286,90.0,False,,,,
9,-2.2624022607899654,2.610464147065345,-3.0,0.0,3.4544155877284286,90.0,False,,,,
10,-2.9173327992078075,3.3661532298551626,-3.0,0.0,4.454415587728429,90.0,False,,,,
11,-3.572263337625649,4.12184231264498,-3.0,0.0,5.454415587728429,90.0,False,,,,
12,-3.6319725849706113,4.190737598043014,-3.0,0.0,5.545584412271571,90.0,False,,,,
13,5.143350750550247,-2.88087652120733,-3.0,2.0,-5.545584412271571,90.0,False,,,,
14,4.488420212132405,-2.125187438417512,-3.0,2.0,-4.545584412271571,90.0,False,,,,
15,3.8334896737145625,-1.3694983556276945,-3.0,2.0,-3.5455844122715714,90.0,False,,,,
16,3.1785591352967213,-0.613809272837877,-3.0,2.0,-2.5455844122715714,90.0,False,,,,
17,2.523628596878879,0.14187980995194072,-3.0,2.0,-1.5455844122715714,90.0,False,,,,
18,1.8686980584610373,0.8975688927417582,-3.0,2.0,-0.5455844122715714,90.0,False,,,,
19,1.2137675200431954,1.653257975531576,-3.0,2.0,0.4544155877284286,90.0,False,,,,
20,0.5588369816253536,2.4089470583213934,-3.0,2.0,1.4544155877284286,90.0,False,,,,
21,-0.09609355679248832,3.1646361411112114,-3.0,2.0,2.4544155877284286,90.0,False,,,,
22,-0.7510240952103302,3.920325223901029,-3.0,2.0,3.4544155877284286,90.0,False,,,,
23,-1.4059546336281723,4.676014306690846,-3.0,2.0,4.454415587728429,90.0,False,,,,
24,-2.0608851720460137,5.4317033894806634,-3.0,2.0,5.454415587728429,90.0,False,,,,
25,-2.120594419390976,5.500598674878697,-3.0,2.0,5.545584412271571,90.0,False,,,,
26,6.654728916129882,-1.5710154443716462,-3.0,4.0,-5.545584412271571,90.0,False,,,,
27,5.99979837771204,-0.8153263615818283,-3.0,4.0,-4.545584412271571,90.0,False,,,,
28,5.3448678392941975,-0.05963727879201075,-3.0,4.0,-3.5455844122715714,90.0,False,,,,
29,4.689937300876356,0.6960518039978068,-3.0,4.0,-2.5455844122715714,90.0,False,,,,
30,4.035006762458514,1.4517408867876245,-3.0,4.0,-1.5455844122715714,90.0,False,,,,
31,3.3800762240406725,2.207429969577442,-3.0,4.0,-0.5455844122715714,90.0,False,,,,
32,2.725145685622831,2.9631190523672597,-3.0,4.0,0.4544155877284286,90.0,False,,,,
33,2.070215147204989,3.718808135157077,-3.0,4.0,1.4544155877284286,90.0,False,,,,
34,1.415284608787147,4.474497217946895,-3.0,4.0,2.4544155877284286,90.0,False,,,,
35,0.760354070369305,5.230186300736713,-3.0,4.0,3.4544155877284286,90.0,False,,,,
36,0.10542353195146292,5.98587538352653,-3.0,4.0,4.454415587728429,90.0,False,,,,
37,-0.5495070064663787,6.741564466316348,-3.0,4.0,5.454415587728429,90.0,False,,,,
38,-0.6092162538113408,6.810459751714381,-3.0,4.0,5.545584412271571,90.0,False,,,,
39,8.166107081709518,-0.26115436753596244,-3.0,6.0,-5.545584412271571,90.0,False,,,,
40,7.5111765432916755,0.4945347152538555,-3.0,6.0,-4.545584412271571,90.0,False,,,,
41,6.856246004873833,1.250223798043673,-3.0,6.0,-3.5455844122715714,90.0,False,,,,
42,6.201315466455991,2.0059128808334905,-3.0,6.0,-2.5455844122715714,90.0,False,,,,
43,5.54638492803815,2.761601963623308,-3.0,6.0,-1.5455844122715714,90.0,False,,,,
44,4.891454389620308,3.517291046413126,-3.0,6.0,-0.5455844122715714,90.0,False,,,,
45,4.236523851202466,4.272980129202943,-3.0,6.0,0.4544155877284286,90.0,False,,,,
46,3.5815933127846242,5.028669211992761,-3.0,6.0,1.4544155877284286,90.0,False,,,,
47,2.9266627743667826,5.784358294782579,-3.0,6.0,2.4544155877284286,90.0,False,,,,
48,2.2717322359489405,6.540047377572396,-3.0,6.0,3.4544155877284286,90.0,False,,,,
49,1.6168016975310984,7.295736460362214,-3.0,6.0,4.454415587728429,90.0,False,,,,
50,0.9618711591132567,8.051425543152032,-3.0,6.0,5.454415587728429,90.0,False,,,,
51,0.9021619117682946,8.120320828550065,-3.0,6.0,5.545584412271571,90.0,False,,,,
52,9.677485247289152,1.0487067092997213,-3.0,8.0,-5.545584412271571,90.0,False,,,,
53,9.022554708871311,1.8043957920895393,-3.0,8.0,-4.545584412271571,90.0,False,,,,
54,8.367624170453468,2.5600848748793568,-3.0,8.0,-3.5455844122715714,90.0,False,,,,
55,7.712693632035627,3.3157739576691743,-3.0,8.0,-2.5455844122715714,90.0,False,,,,
56,7.057763093617785,4.071463040458992,-3.0,8.0,-1.5455844122715714,90.0,False,,,,
57,6.402832555199943,4.827152123248809,-3.0,8.0,-0.5455844122715714,90.0,False,,,,
58,5.747902016782101,5.582841206038627,-3.0,8.0,0.4544155877284286,90.0,False,,,,
59,5.092971478364259,6.338530288828444,-3.0,8.0,1.4544155877284286,90.0,False,,,,
60,4.438040939946418,7.094219371618262,-3.0,8.0,2.4544155877284286,90.0,False,,,,
