time,name,type,x,y,z,vx,vy,vz,radius
12.500,patrol_ball_1,sphere,16.6759,4.2255,-3.0000,1.3211,-0.4634,0.0000,0.4500
13.000,crossing_ball_1,sphere,10.0000,-1.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
13.000,patrol_ball_1,sphere,17.3533,4.0526,-3.0000,1.3816,-0.2263,0.0000,0.4500
13.500,crossing_ball_1,sphere,10.0000,-0.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
13.500,patrol_ball_1,sphere,18.0504,4.0003,-3.0000,1.3999,0.0177,0.0000,0.4500
14.000,crossing_ball_1,sphere,10.0000,0.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
14.000,patrol_ball_1,sphere,18.7460,4.0702,-3.0000,1.3754,0.2611,0.0000,0.4500
14.500,crossing_ball_1,sphere,10.0000,0.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
14.500,patrol_ball_1,sphere,19.4189,4.2601,-3.0000,1.3090,0.4966,0.0000,0.4500
15.000,crossing_ball_1,sphere,10.0000,1.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
15.000,patrol_ball_1,sphere,20.0483,4.5643,-3.0000,1.2025,0.7169,0.0000,0.4500
15.500,crossing_ball_1,sphere,10.0000,1.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
15.500,patrol_ball_1,sphere,20.6152,4.9734,-3.0000,1.0593,0.9153,0.0000,0.4500
16.000,crossing_ball_1,sphere,10.0000,2.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
16.000,patrol_ball_1,sphere,21.1023,5.4749,-3.0000,0.8838,1.0858,0.0000,0.4500
16.500,crossing_ball_1,sphere,10.0000,2.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
16.500,patrol_ball_1,sphere,21.4945,6.0536,-3.0000,0.6812,1.2231,0.0000,0.4500
17.000,crossing_ball_1,sphere,10.0000,3.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
17.000,patrol_ball_1,sphere,21.7800,6.6918,-3.0000,0.4579,1.3230,0.0000,0.4500
17.500,crossing_ball_1,sphere,10.0000,3.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
17.500,patrol_ball_1,sphere,21.9501,7.3699,-3.0000,0.2205,1.3825,0.0000,0.4500
18.000,crossing_ball_1,sphere,10.0000,4.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
18.000,patrol_ball_1,sphere,21.9994,8.0673,-3.0000,-0.0235,1.3998,0.0000,0.4500
18.500,crossing_ball_1,sphere,10.0000,4.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
18.500,patrol_ball_1,sphere,21.9266,8.7626,-3.0000,-0.2669,1.3743,0.0000,0.4500
19.000,crossing_ball_1,sphere,10.0000,5.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
19.000,patrol_ball_1,sphere,21.7339,9.4346,-3.0000,-0.5021,1.3069,0.0000,0.4500
19.500,crossing_ball_1,sphere,10.0000,5.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
19.500,patrol_ball_1,sphere,21.4271,10.0628,-3.0000,-0.7220,1.1995,0.0000,0.4500
20.000,crossing_ball_1,sphere,10.0000,6.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
20.000,patrol_ball_1,sphere,21.0156,10.6279,-3.0000,-0.9198,1.0555,0.0000,0.4500
20.500,crossing_ball_1,sphere,10.0000,6.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
20.500,patrol_ball_1,sphere,20.5120,11.1129,-3.0000,-1.0895,0.8792,0.0000,0.4500
21.000,crossing_ball_1,sphere,10.0000,7.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
21.000,patrol_ball_1,sphere,19.9317,11.5027,-3.0000,-1.2259,0.6761,0.0000,0.4500
21.500,crossing_ball_1,sphere,10.0000,7.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
21.500,patrol_ball_1,sphere,19.2923,11.7855,-3.0000,-1.3249,0.4523,0.0000,0.4500
22.000,crossing_ball_1,sphere,10.0000,8.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
22.000,patrol_ball_1,sphere,18.6135,11.9527,-3.0000,-1.3834,0.2147,0.0000,0.4500
22.500,crossing_ball_1,sphere,10.0000,8.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
22.500,patrol_ball_1,sphere,17.9159,11.9991,-3.0000,-1.3997,-0.0294,0.0000,0.4500
23.000,crossing_ball_1,sphere,10.0000,9.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
23.000,patrol_ball_1,sphere,17.2209,11.9234,-3.0000,-1.3732,-0.2727,0.0000,0.4500
23.500,crossing_ball_1,sphere,10.0000,9.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
23.500,patrol_ball_1,sphere,16.5497,11.7278,-3.0000,-1.3047,-0.5076,0.0000,0.4500
24.000,crossing_ball_1,sphere,10.0000,10.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
24.000,patrol_ball_1,sphere,15.9228,11.4184,-3.0000,-1.1964,-0.7270,0.0000,0.4500
24.500,crossing_ball_1,sphere,10.0000,10.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
24.500,patrol_ball_1,sphere,15.3594,11.0045,-3.0000,-1.0516,-0.9242,0.0000,0.4500
25.000,crossing_ball_1,sphere,10.0000,11.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
25.000,patrol_ball_1,sphere,14.8766,10.4989,-3.0000,-0.8746,-1.0932,0.0000,0.4500
25.500,crossing_ball_1,sphere,10.0000,11.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
25.500,patrol_ball_1,sphere,14.4892,9.9169,-3.0000,-0.6709,-1.2288,0.0000,0.4500
26.000,crossing_ball_1,sphere,10.0000,12.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
26.000,patrol_ball_1,sphere,14.2091,9.2764,-3.0000,-0.4467,-1.3268,0.0000,0.4500
26.500,crossing_ball_1,sphere,10.0000,12.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
26.500,patrol_ball_1,sphere,14.0448,8.5969,-3.0000,-0.2089,-1.3843,0.0000,0.4500
27.000,crossing_ball_1,sphere,10.0000,13.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
27.000,patrol_ball_1,sphere,14.0013,7.8991,-3.0000,0.0353,-1.3996,0.0000,0.4500
27.500,crossing_ball_1,sphere,10.0000,13.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
27.500,patrol_ball_1,sphere,14.0799,7.2045,-3.0000,0.2784,-1.3720,0.0000,0.4500
28.000,crossing_ball_1,sphere,10.0000,14.0000,-3.0000,0.0000,0.0000,0.0000,0.5500
28.000,patrol_ball_1,sphere,14.2783,6.5341,-3.0000,0.5131,-1.3026,0.0000,0.4500
28.500,crossing_ball_1,sphere,10.0000,14.0000,-3.0000,0.0000,0.0000,0.0000,0.5500
28.500,patrol_ball_1,sphere,14.5904,5.9085,-3.0000,0.7320,-1.1934,0.0000,0.4500
29.000,crossing_ball_1,sphere,10.0000,14.0000,-3.0000,0.0000,0.0000,0.0000,0.5500
29.000,patrol_ball_1,sphere,15.0066,5.3468,-3.0000,0.9286,-1.0477,0.0000,0.4500
29.500,crossing_ball_1,sphere,10.0000,14.0000,-3.0000,0.0000,0.0000,0.0000,0.5500
29.500,patrol_ball_1,sphere,15.5143,4.8661,-3.0000,1.0969,-0.8700,0.0000,0.4500
30.000,crossing_ball_1,sphere,10.0000,14.0000,-3.0000,0.0000,0.0000,0.0000,0.5500
30.000,patrol_ball_1,sphere,16.0979,4.4812,-3.0000,1.2316,-0.6658,0.0000,0.4500
