time,obstacle_id,x,y,z,radius
14.5,center_patrol_ball,25.3437,3.9884,-3.0,0.45
15.0,crossing_ball_left,11.0,-2.1,-3.0,0.5
15.0,crossing_ball_right,17.0,11.0,-3.0,0.5
15.0,center_patrol_ball,25.7562,4.5219,-3.0,0.45
15.5,crossing_ball_left,11.0,-1.65,-3.0,0.5
15.5,crossing_ball_right,17.0,10.5,-3.0,0.5
15.5,center_patrol_ball,26.0843,5.1111,-3.0,0.45
16.0,crossing_ball_left,11.0,-1.2,-3.0,0.5
16.0,crossing_ball_right,17.0,10.0,-3.0,0.5
16.0,center_patrol_ball,26.3208,5.7426,-3.0,0.45
16.5,crossing_ball_left,11.0,-0.75,-3.0,0.5
16.5,crossing_ball_right,17.0,9.5,-3.0,0.5
16.5,center_patrol_ball,26.4601,6.4024,-3.0,0.45
17.0,crossing_ball_left,11.0,-0.3,-3.0,0.5
17.0,crossing_ball_right,17.0,9.0,-3.0,0.5
17.0,center_patrol_ball,26.4994,7.0757,-3.0,0.45
17.5,crossing_ball_left,11.0,0.15,-3.0,0.5
17.5,crossing_ball_right,17.0,8.5,-3.0,0.5
17.5,center_patrol_ball,26.4375,7.7472,-3.0,0.45
18.0,crossing_ball_left,11.0,0.6,-3.0,0.5
18.0,crossing_ball_right,17.0,8.0,-3.0,0.5
18.0,center_patrol_ball,26.276,8.4019,-3.0,0.45
18.5,crossing_ball_left,11.0,1.05,-3.0,0.5
18.5,crossing_ball_right,17.0,7.5,-3.0,0.5
18.5,center_patrol_ball,26.0185,9.0252,-3.0,0.45
19.0,crossing_ball_left,11.0,1.5,-3.0,0.5
19.0,crossing_ball_right,17.0,7.0,-3.0,0.5
19.0,center_patrol_ball,25.6708,9.603,-3.0,0.45
19.5,crossing_ball_left,11.0,1.95,-3.0,0.5
19.5,crossing_ball_right,17.0,6.5,-3.0,0.5
19.5,center_patrol_ball,25.2406,10.1223,-3.0,0.45
20.0,crossing_ball_left,11.0,2.4,-3.0,0.5
20.0,crossing_ball_right,17.0,6.0,-3.0,0.5
20.0,center_patrol_ball,24.7376,10.5715,-3.0,0.45
20.5,crossing_ball_left,11.0,2.85,-3.0,0.5
20.5,crossing_ball_right,17.0,5.5,-3.0,0.5
20.5,center_patrol_ball,24.1731,10.9405,-3.0,0.45
21.0,crossing_ball_left,11.0,3.3,-3.0,0.5
21.0,crossing_ball_right,17.0,5.0,-3.0,0.5
21.0,center_patrol_ball,23.5599,11.221,-3.0,0.45
21.5,crossing_ball_left,11.0,3.75,-3.0,0.5
21.5,crossing_ball_right,17.0,4.5,-3.0,0.5
21.5,center_patrol_ball,22.9116,11.4067,-3.0,0.45
22.0,crossing_ball_left,11.0,4.2,-3.0,0.5
22.0,crossing_ball_right,17.0,4.0,-3.0,0.5
22.0,center_patrol_ball,22.2428,11.4934,-3.0,0.45
22.5,crossing_ball_left,11.0,4.65,-3.0,0.5
22.5,crossing_ball_right,17.0,3.5,-3.0,0.5
22.5,center_patrol_ball,21.5686,11.4793,-3.0,0.45
23.0,crossing_ball_left,11.0,5.1,-3.0,0.5
23.0,crossing_ball_right,17.0,3.0,-3.0,0.5
23.0,center_patrol_ball,20.9041,11.3645,-3.0,0.45
23.5,crossing_ball_left,11.0,5.55,-3.0,0.5
23.5,crossing_ball_right,17.0,2.5,-3.0,0.5
23.5,center_patrol_ball,20.2641,11.1517,-3.0,0.45
24.0,crossing_ball_left,11.0,6.0,-3.0,0.5
24.0,crossing_ball_right,17.0,2.0,-3.0,0.5
24.0,center_patrol_ball,19.6632,10.8457,-3.0,0.45
24.5,crossing_ball_left,11.0,6.45,-3.0,0.5
24.5,crossing_ball_right,17.0,1.5,-3.0,0.5
24.5,center_patrol_ball,19.1147,10.4533,-3.0,0.45
25.0,crossing_ball_left,11.0,6.9,-3.0,0.5
25.0,crossing_ball_right,17.0,1.0,-3.0,0.5
25.0,center_patrol_ball,18.6311,9.9834,-3.0,0.45
25.5,crossing_ball_left,11.0,7.35,-3.0,0.5
25.5,crossing_ball_right,17.0,0.5,-3.0,0.5
25.5,center_patrol_ball,18.2231,9.4464,-3.0,0.45
26.0,crossing_ball_left,11.0,7.8,-3.0,0.5
26.0,crossing_ball_right,17.0,0.0,-3.0,0.5
26.0,center_patrol_ball,17.8999,8.8545,-3.0,0.45
26.5,crossing_ball_left,11.0,8.25,-3.0,0.5
26.5,crossing_ball_right,17.0,-0.5,-3.0,0.5
26.5,center_patrol_ball,17.6688,8.221,-3.0,0.45
27.0,crossing_ball_left,11.0,8.7,-3.0,0.5
27.0,crossing_ball_right,17.0,-1.0,-3.0,0.5
27.0,center_patrol_ball,17.535,7.56,-3.0,0.45
27.5,crossing_ball_left,11.0,9.15,-3.0,0.5
27.5,crossing_ball_right,17.0,-1.5,-3.0,0.5
27.5,center_patrol_ball,17.5014,6.8865,-3.0,0.45
28.0,crossing_ball_left,11.0,9.6,-3.0,0.5
28.0,crossing_ball_right,17.0,-2.0,-3.0,0.5
28.0,center_patrol_ball,17.5689,6.2155,-3.0,0.45
28.5,crossing_ball_left,11.0,10.05,-3.0,0.5
28.5,crossing_ball_right,17.0,-2.5,-3.0,0.5
28.5,center_patrol_ball,17.7359,5.5622,-3.0,0.45
29.0,crossing_ball_left,11.0,10.5,-3.0,0.5
29.0,crossing_ball_right,17.0,-3.0,-3.0,0.5
29.0,center_patrol_ball,17.9986,4.9411,-3.0,0.45
29.5,crossing_ball_left,11.0,10.95,-3.0,0.5
29.5,crossing_ball_right,17.0,-3.5,-3.0,0.5
29.5,center_patrol_ball,18.3513,4.3663,-3.0,0.45
30.0,crossing_ball_left,11.0,11.4,-3.0,0.5
30.0,crossing_ball_right,17.0,-4.0,-3.0,0.5
30.0,center_patrol_ball,18.7858,3.8506,-3.0,0.45
30.5,crossing_ball_left,11.0,11.85,-3.0,0.5
30.5,crossing_ball_right,17.0,-4.5,-3.0,0.5
30.5,center_patrol_ball,19.2925,3.4056,-3.0,0.45
31.0,crossing_ball_left,11.0,12.3,-3.0,0.5
31.0,crossing_ball_right,17.0,-5.0,-3.0,0.5
31.0,center_patrol_ball,19.8601,3.0414,-3.0,0.45
31.5,crossing_ball_left,11.0,12.75,-3.0,0.5
31.5,crossing_ball_right,17.0,-5.5,-3.0,0.5
31.5,center_patrol_ball,20.4757,2.766,-3.0,0.45
32.0,crossing_ball_left,11.0,13.2,-3.0,0.5
32.0,crossing_ball_right,17.0,-6.0,-3.0,0.5
32.0,center_patrol_ball,21.1255,2.5858,-3.0,0.45
32.5,crossing_ball_left,11.0,13.65,-3.0,0.5
32.5,crossing_ball_right,17.0,-6.5,-3.0,0.5
